Año;mes;NCM;Porg;Pnet(kg);FOB(USD);Flete(USD);Seguro(USD);CIF(USD)
2024;01;01012100;200;500,000;6000,00;3500,00;47,50;9547,50
2024;01;01012100;212;2500,000;19500,00;26000,01;455,01;45955,02
2024;01;01012100;417;300,000;33490,76;3256,80;367,48;37115,04
2024;01;01012900;200;450,000;5000,00;2500,00;75,00;7575,00
2024;01;01012900;423;1000,000;9800,00;6513,60;168,27;16481,87
2024;01;01051110;203;4207,760;3108490,87;30702,26;25061,39;3164254,52
2024;01;01061900;200;5,000;110,00;1096,08;12,06;1218,14
2024;01;01061900;310;2,000;2900,00;683,73;35,84;3619,57
2024;01;01061900;438;121,000;1007,89;4935,89;30,30;5974,08
2024;01;02013000;200;3843,390;31819,71;17964,00;261,94;50045,65
2024;01;02023000;200;106778,120;359170,84;6096,00;3584,76;368851,60
2024;01;02032900;203;904149,150;2323279,11;176348,24;3163,65;2502791,00
2024;01;02061000;200;123,310;1270,09;683,00;11,70;1964,79
2024;01;02071400;200;24000,000;73952,07;3188,62;771,41;77912,10
2024;01;02071400;203;373559,280;207963,73;44321,51;1507,02;253792,26
2024;01;02071400;225;44000,000;21120,00;3900,00;21,12;25041,12
2024;01;03011190;316;102,260;2833,58;3917,21;38,26;6789,05
2024;01;03011900;316;23,950;3986,58;7407,68;61,88;11456,14
2024;01;03021400;208;243561,400;1904716,50;50789,47;14811,19;1970317,16
2024;01;03031400;208;6411,440;41674,36;1106,75;427,81;43208,92
2024;01;03036600;200;17808,000;30273,60;2813,34;165,44;33252,38
2024;01;03046290;337;25000,000;48750,00;3001,00;517,51;52268,51
2024;01;03047400;200;24012,000;78189,00;2700,00;808,89;81697,89
2024;01;03047400;203;24005,000;77566,00;700,00;782,66;79048,66
2024;01;03048100;208;21729,100;131369,15;4003,78;1353,73;136726,66
2024;01;03061710;200;18480,000;108390,00;6193,91;575,42;115159,33
2024;01;03061710;210;19500,000;82875,00;5992,00;444,34;89311,34
2024;01;03063300;316;2,820;290,25;474,91;3,83;768,99
2024;01;03063600;316;10,090;735,10;1174,06;9,55;1918,71
2024;01;03079100;316;3,810;157,93;138,48;2,96;299,37
2024;01;03089000;316;104,110;944,50;1618,91;12,81;2576,22
